1f004 1f004-fe0f
1f170 1f170-fe0f
1f171 1f171-fe0f
1f17e 1f17e-fe0f
1f17f 1f17f-fe0f
1f202 1f202-fe0f
1f21a 1f21a-fe0f
1f22f 1f22f-fe0f
1f237 1f237-fe0f
1f30d 1f30d-fe0f
1f30e 1f30e-fe0f
1f30f 1f30f-fe0f
1f315 1f315-fe0f
1f31c 1f31c-fe0f
1f321 1f321-fe0f
1f324 1f324-fe0f
1f325 1f325-fe0f
1f326 1f326-fe0f
1f327 1f327-fe0f
1f328 1f328-fe0f
1f329 1f329-fe0f
1f32a 1f32a-fe0f
1f32b 1f32b-fe0f
1f32c 1f32c-fe0f
1f336 1f336-fe0f
1f378 1f378-fe0f
1f37d 1f37d-fe0f
1f393 1f393-fe0f
1f396 1f396-fe0f
1f397 1f397-fe0f
1f399 1f399-fe0f
1f39a 1f39a-fe0f
1f39b 1f39b-fe0f
1f39e 1f39e-fe0f
1f39f 1f39f-fe0f
1f3a7 1f3a7-fe0f
1f3ac 1f3ac-fe0f
1f3ad 1f3ad-fe0f
1f3ae 1f3ae-fe0f
1f3c2 1f3c2-fe0f
1f3c4 1f3c4-fe0f
1f3c6 1f3c6-fe0f
1f3ca 1f3ca-fe0f
1f3cb 1f3cb-fe0f
1f3cc 1f3cc-fe0f
1f3cd 1f3cd-fe0f
1f3ce 1f3ce-fe0f
1f3d4 1f3d4-fe0f
1f3d5 1f3d5-fe0f
1f3d6 1f3d6-fe0f
1f3d7 1f3d7-fe0f
1f3d8 1f3d8-fe0f
1f3d9 1f3d9-fe0f
1f3da 1f3da-fe0f
1f3db 1f3db-fe0f
1f3dc 1f3dc-fe0f
1f3dd 1f3dd-fe0f
1f3de 1f3de-fe0f
1f3df 1f3df-fe0f
1f3e0 1f3e0-fe0f
1f3ed 1f3ed-fe0f
1f3f3 1f3f3-fe0f
1f3f5 1f3f5-fe0f
1f3f7 1f3f7-fe0f
1f408 1f408-fe0f
1f415 1f415-fe0f
1f41f 1f41f-fe0f
1f426 1f426-fe0f
1f43f 1f43f-fe0f
1f441 1f441-fe0f
1f442 1f442-fe0f
1f446 1f446-fe0f
1f447 1f447-fe0f
1f448 1f448-fe0f
1f449 1f449-fe0f
1f44d 1f44d-fe0f
1f44e 1f44e-fe0f
1f453 1f453-fe0f
1f46a 1f46a-fe0f
1f47d 1f47d-fe0f
1f4a3 1f4a3-fe0f
